Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[disease]	Characteristics[developmental stage]	Characteristics[individual]	Characteristics[age]	Unit [time unit]	Characteristics[sex]	Characteristics[organism part]	Material Type	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Protocol REF	Protocol REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Protocol REF	Protocol REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Protocol REF	Protocol REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Factor Value[developmental stage]	Factor Value[organism part]
5688sTS.Human.Kidney.18w.Male	ERS2510246	SAMEA4690062	Homo sapiens	normal	18 week post conception	12243	18	week	male	kidney	organism part	P-MTAB-75109	P-MTAB-75110	P-MTAB-75111	5688sTS.Human.Kidney.18w.Male	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-75112	Lausanne Genomics Technology Facility	5688sTS.Human.Kidney.18w.Male	sequencing assay	ERX2614421	5688sTS.Human.Kidney.18w.Male.fastq.gz	5688sTS.Human.Kidney.18w.Male.fastq.gz	ERR2598140	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/000/ERR2598140/ERR2598140.fastq.gz	P-MTAB-75114	P-MTAB-75113	5688sTS.Human.Kidney.18w.Male.sorted.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.5688sTS.Human.Kidney.18w.Male.sorted.bam	P-MTAB-75114	P-MTAB-75113	Human.CPM.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.processed.2.zip	P-MTAB-75114	P-MTAB-75113	Human.RPKM.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.processed.1.zip	18 week post conception	kidney
5641sTS.Human.Liver.18w.Female	ERS2510248	SAMEA4690064	Homo sapiens	normal	18 week post conception	12441	18	week	female	liver	organism part	P-MTAB-75109	P-MTAB-75110	P-MTAB-75111	5641sTS.Human.Liver.18w.Female	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-75112	Lausanne Genomics Technology Facility	5641sTS.Human.Liver.18w.Female	sequencing assay	ERX2614423	5641sTS.Human.Liver.18w.Female.fastq.gz	5641sTS.Human.Liver.18w.Female.fastq.gz	ERR2598142	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/002/ERR2598142/ERR2598142.fastq.gz	P-MTAB-75114	P-MTAB-75113	5641sTS.Human.Liver.18w.Female.sorted.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.5641sTS.Human.Liver.18w.Female.sorted.bam	P-MTAB-75114	P-MTAB-75113	Human.CPM.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.processed.2.zip	P-MTAB-75114	P-MTAB-75113	Human.RPKM.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.processed.1.zip	18 week post conception	liver
5662sTS.Human.Kidney.18w.Female	ERS2510245	SAMEA4690061	Homo sapiens	normal	18 week post conception	12441	18	week	female	kidney	organism part	P-MTAB-75109	P-MTAB-75110	P-MTAB-75111	5662sTS.Human.Kidney.18w.Female	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-75112	Lausanne Genomics Technology Facility	5662sTS.Human.Kidney.18w.Female	sequencing assay	ERX2614420	5662sTS.Human.Kidney.18w.Female.fastq.gz	5662sTS.Human.Kidney.18w.Female.fastq.gz	ERR2598139	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/009/ERR2598139/ERR2598139.fastq.gz	P-MTAB-75114	P-MTAB-75113	5662sTS.Human.Kidney.18w.Female.sorted.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.5662sTS.Human.Kidney.18w.Female.sorted.bam	P-MTAB-75114	P-MTAB-75113	Human.CPM.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.processed.2.zip	P-MTAB-75114	P-MTAB-75113	Human.RPKM.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.processed.1.zip	18 week post conception	kidney
5674sTS.Human.Ovary.18w.Female	ERS2510251	SAMEA4690067	Homo sapiens	normal	18 week post conception	12441	18	week	female	ovary	organism part	P-MTAB-75109	P-MTAB-75110	P-MTAB-75111	5674sTS.Human.Ovary.18w.Female	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-75112	Lausanne Genomics Technology Facility	5674sTS.Human.Ovary.18w.Female	sequencing assay	ERX2614426	5674sTS.Human.Ovary.18w.Female.fastq.gz	5674sTS.Human.Ovary.18w.Female.fastq.gz	ERR2598145	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/005/ERR2598145/ERR2598145.fastq.gz	P-MTAB-75114	P-MTAB-75113	5674sTS.Human.Ovary.18w.Female.sorted.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.5674sTS.Human.Ovary.18w.Female.sorted.bam	P-MTAB-75114	P-MTAB-75113	Human.CPM.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.processed.2.zip	P-MTAB-75114	P-MTAB-75113	Human.RPKM.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.processed.1.zip	18 week post conception	ovary
5948sTS.Human.Liver.18w.Female	ERS2510250	SAMEA4690066	Homo sapiens	normal	18 week post conception	12663	18	week	female	liver	organism part	P-MTAB-75109	P-MTAB-75110	P-MTAB-75111	5948sTS.Human.Liver.18w.Female	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-75112	Lausanne Genomics Technology Facility	5948sTS.Human.Liver.18w.Female	sequencing assay	ERX2614425	5948sTS.Human.Liver.18w.Female.fastq.gz	5948sTS.Human.Liver.18w.Female.fastq.gz	ERR2598144	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/004/ERR2598144/ERR2598144.fastq.gz	P-MTAB-75114	P-MTAB-75113	5948sTS.Human.Liver.18w.Female.sorted.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.5948sTS.Human.Liver.18w.Female.sorted.bam	P-MTAB-75114	P-MTAB-75113	Human.CPM.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.processed.2.zip	P-MTAB-75114	P-MTAB-75113	Human.RPKM.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.processed.1.zip	18 week post conception	liver
5949sTS.Human.Ovary.18w.Female	ERS2510252	SAMEA4690068	Homo sapiens	normal	18 week post conception	12663	18	week	female	ovary	organism part	P-MTAB-75109	P-MTAB-75110	P-MTAB-75111	5949sTS.Human.Ovary.18w.Female	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-75112	Lausanne Genomics Technology Facility	5949sTS.Human.Ovary.18w.Female	sequencing assay	ERX2614427	5949sTS.Human.Ovary.18w.Female.fastq.gz	5949sTS.Human.Ovary.18w.Female.fastq.gz	ERR2598146	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/006/ERR2598146/ERR2598146.fastq.gz	P-MTAB-75114	P-MTAB-75113	5949sTS.Human.Ovary.18w.Female.sorted.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.5949sTS.Human.Ovary.18w.Female.sorted.bam	P-MTAB-75114	P-MTAB-75113	Human.CPM.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.processed.2.zip	P-MTAB-75114	P-MTAB-75113	Human.RPKM.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.processed.1.zip	18 week post conception	ovary
5957sTS.Human.Kidney.18w.Female	ERS2510247	SAMEA4690063	Homo sapiens	normal	18 week post conception	12663	18	week	female	kidney	organism part	P-MTAB-75109	P-MTAB-75110	P-MTAB-75111	5957sTS.Human.Kidney.18w.Female	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-75112	Lausanne Genomics Technology Facility	5957sTS.Human.Kidney.18w.Female	sequencing assay	ERX2614422	5957sTS.Human.Kidney.18w.Female.fastq.gz	5957sTS.Human.Kidney.18w.Female.fastq.gz	ERR2598141	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/001/ERR2598141/ERR2598141.fastq.gz	P-MTAB-75114	P-MTAB-75113	5957sTS.Human.Kidney.18w.Female.sorted.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.5957sTS.Human.Kidney.18w.Female.sorted.bam	P-MTAB-75114	P-MTAB-75113	Human.CPM.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.processed.2.zip	P-MTAB-75114	P-MTAB-75113	Human.RPKM.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.processed.1.zip	18 week post conception	kidney
5960sTS.Human.Brain.19w.Male	ERS2510256	SAMEA4690072	Homo sapiens	normal	19 week post conception	11581	19	week	male	forebrain	organism part	P-MTAB-75109	P-MTAB-75110	P-MTAB-75111	5960sTS.Human.Brain.19w.Male	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-75112	Lausanne Genomics Technology Facility	5960sTS.Human.Brain.19w.Male	sequencing assay	ERX2614431	5960sTS.Human.Brain.19w.Male.fastq.gz	5960sTS.Human.Brain.19w.Male.fastq.gz	ERR2598150	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/000/ERR2598150/ERR2598150.fastq.gz	P-MTAB-75114	P-MTAB-75113	5960sTS.Human.Brain.19w.Male.sorted.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.5960sTS.Human.Brain.19w.Male.sorted.bam	P-MTAB-75114	P-MTAB-75113	Human.CPM.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.processed.2.zip	P-MTAB-75114	P-MTAB-75113	Human.RPKM.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.processed.1.zip	19 week post conception	forebrain
5768sTS.Human.Brain.19w.Male	ERS2510254	SAMEA4690070	Homo sapiens	normal	19 week post conception	11875	19	week	male	forebrain	organism part	P-MTAB-75109	P-MTAB-75110	P-MTAB-75111	5768sTS.Human.Brain.19w.Male	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-75112	Lausanne Genomics Technology Facility	5768sTS.Human.Brain.19w.Male	sequencing assay	ERX2614429	5768sTS.Human.Brain.19w.Male.fastq.gz	5768sTS.Human.Brain.19w.Male.fastq.gz	ERR2598148	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/008/ERR2598148/ERR2598148.fastq.gz	P-MTAB-75114	P-MTAB-75113	5768sTS.Human.Brain.19w.Male.sorted.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.5768sTS.Human.Brain.19w.Male.sorted.bam	P-MTAB-75114	P-MTAB-75113	Human.CPM.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.processed.2.zip	P-MTAB-75114	P-MTAB-75113	Human.RPKM.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.processed.1.zip	19 week post conception	forebrain
5769sTS.Human.Liver.19w.Male	ERS2510265	SAMEA4690081	Homo sapiens	normal	19 week post conception	11875	19	week	male	liver	organism part	P-MTAB-75109	P-MTAB-75110	P-MTAB-75111	5769sTS.Human.Liver.19w.Male	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-75112	Lausanne Genomics Technology Facility	5769sTS.Human.Liver.19w.Male	sequencing assay	ERX2614440	5769sTS.Human.Liver.19w.Male.fastq.gz	5769sTS.Human.Liver.19w.Male.fastq.gz	ERR2598159	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/009/ERR2598159/ERR2598159.fastq.gz	P-MTAB-75114	P-MTAB-75113	5769sTS.Human.Liver.19w.Male.sorted.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.5769sTS.Human.Liver.19w.Male.sorted.bam	P-MTAB-75114	P-MTAB-75113	Human.CPM.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.processed.2.zip	P-MTAB-75114	P-MTAB-75113	Human.RPKM.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.processed.1.zip	19 week post conception	liver
5777sTS.Human.Heart.19w.Male	ERS2510259	SAMEA4690075	Homo sapiens	normal	19 week post conception	12519	19	week	male	heart	organism part	P-MTAB-75109	P-MTAB-75110	P-MTAB-75111	5777sTS.Human.Heart.19w.Male	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-75112	Lausanne Genomics Technology Facility	5777sTS.Human.Heart.19w.Male	sequencing assay	ERX2614434	5777sTS.Human.Heart.19w.Male.fastq.gz	5777sTS.Human.Heart.19w.Male.fastq.gz	ERR2598153	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/003/ERR2598153/ERR2598153.fastq.gz	P-MTAB-75114	P-MTAB-75113	5777sTS.Human.Heart.19w.Male.sorted.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.5777sTS.Human.Heart.19w.Male.sorted.bam	P-MTAB-75114	P-MTAB-75113	Human.CPM.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.processed.2.zip	P-MTAB-75114	P-MTAB-75113	Human.RPKM.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.processed.1.zip	19 week post conception	heart
5778sTS.Human.Testis.19w.Male	ERS2510269	SAMEA4690085	Homo sapiens	normal	19 week post conception	12520	19	week	male	testis	organism part	P-MTAB-75109	P-MTAB-75110	P-MTAB-75111	5778sTS.Human.Testis.19w.Male	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-75112	Lausanne Genomics Technology Facility	5778sTS.Human.Testis.19w.Male	sequencing assay	ERX2614444	5778sTS.Human.Testis.19w.Male.fastq.gz	5778sTS.Human.Testis.19w.Male.fastq.gz	ERR2598163	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/003/ERR2598163/ERR2598163.fastq.gz	P-MTAB-75114	P-MTAB-75113	5778sTS.Human.Testis.19w.Male.sorted.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.5778sTS.Human.Testis.19w.Male.sorted.bam	P-MTAB-75114	P-MTAB-75113	Human.CPM.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.processed.2.zip	P-MTAB-75114	P-MTAB-75113	Human.RPKM.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.processed.1.zip	19 week post conception	testis
5779sTS.Human.Kidney.19w.Male	ERS2510262	SAMEA4690078	Homo sapiens	normal	19 week post conception	12520	19	week	male	kidney	organism part	P-MTAB-75109	P-MTAB-75110	P-MTAB-75111	5779sTS.Human.Kidney.19w.Male	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-75112	Lausanne Genomics Technology Facility	5779sTS.Human.Kidney.19w.Male	sequencing assay	ERX2614437	5779sTS.Human.Kidney.19w.Male.fastq.gz	5779sTS.Human.Kidney.19w.Male.fastq.gz	ERR2598156	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/006/ERR2598156/ERR2598156.fastq.gz	P-MTAB-75114	P-MTAB-75113	5779sTS.Human.Kidney.19w.Male.sorted.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.5779sTS.Human.Kidney.19w.Male.sorted.bam	P-MTAB-75114	P-MTAB-75113	Human.CPM.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.processed.2.zip	P-MTAB-75114	P-MTAB-75113	Human.RPKM.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.processed.1.zip	19 week post conception	kidney
5780sTS.Human.Heart.19w.Male	ERS2510260	SAMEA4690076	Homo sapiens	normal	19 week post conception	12520	19	week	male	heart	organism part	P-MTAB-75109	P-MTAB-75110	P-MTAB-75111	5780sTS.Human.Heart.19w.Male	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-75112	Lausanne Genomics Technology Facility	5780sTS.Human.Heart.19w.Male	sequencing assay	ERX2614435	5780sTS.Human.Heart.19w.Male.fastq.gz	5780sTS.Human.Heart.19w.Male.fastq.gz	ERR2598154	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/004/ERR2598154/ERR2598154.fastq.gz	P-MTAB-75114	P-MTAB-75113	5780sTS.Human.Heart.19w.Male.sorted.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.5780sTS.Human.Heart.19w.Male.sorted.bam	P-MTAB-75114	P-MTAB-75113	Human.CPM.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.processed.2.zip	P-MTAB-75114	P-MTAB-75113	Human.RPKM.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.processed.1.zip	19 week post conception	heart
5781sTS.Human.Liver.19w.Female	ERS2510266	SAMEA4690082	Homo sapiens	normal	19 week post conception	12521	19	week	female	liver	organism part	P-MTAB-75109	P-MTAB-75110	P-MTAB-75111	5781sTS.Human.Liver.19w.Female	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-75112	Lausanne Genomics Technology Facility	5781sTS.Human.Liver.19w.Female	sequencing assay	ERX2614441	5781sTS.Human.Liver.19w.Female.fastq.gz	5781sTS.Human.Liver.19w.Female.fastq.gz	ERR2598160	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/000/ERR2598160/ERR2598160.fastq.gz	P-MTAB-75114	P-MTAB-75113	5781sTS.Human.Liver.19w.Female.sorted.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.5781sTS.Human.Liver.19w.Female.sorted.bam	P-MTAB-75114	P-MTAB-75113	Human.CPM.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.processed.2.zip	P-MTAB-75114	P-MTAB-75113	Human.RPKM.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.processed.1.zip	19 week post conception	liver
5782sTS.Human.Brain.19w.Female	ERS2510255	SAMEA4690071	Homo sapiens	normal	19 week post conception	12545	19	week	female	forebrain	organism part	P-MTAB-75109	P-MTAB-75110	P-MTAB-75111	5782sTS.Human.Brain.19w.Female	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-75112	Lausanne Genomics Technology Facility	5782sTS.Human.Brain.19w.Female	sequencing assay	ERX2614430	5782sTS.Human.Brain.19w.Female.fastq.gz	5782sTS.Human.Brain.19w.Female.fastq.gz	ERR2598149	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/009/ERR2598149/ERR2598149.fastq.gz	P-MTAB-75114	P-MTAB-75113	5782sTS.Human.Brain.19w.Female.sorted.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.5782sTS.Human.Brain.19w.Female.sorted.bam	P-MTAB-75114	P-MTAB-75113	Human.CPM.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.processed.2.zip	P-MTAB-75114	P-MTAB-75113	Human.RPKM.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.processed.1.zip	19 week post conception	forebrain
5783sTS.Human.Heart.19w.Female	ERS2510261	SAMEA4690077	Homo sapiens	normal	19 week post conception	12545	19	week	female	heart	organism part	P-MTAB-75109	P-MTAB-75110	P-MTAB-75111	5783sTS.Human.Heart.19w.Female	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-75112	Lausanne Genomics Technology Facility	5783sTS.Human.Heart.19w.Female	sequencing assay	ERX2614436	5783sTS.Human.Heart.19w.Female.fastq.gz	5783sTS.Human.Heart.19w.Female.fastq.gz	ERR2598155	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/005/ERR2598155/ERR2598155.fastq.gz	P-MTAB-75114	P-MTAB-75113	5783sTS.Human.Heart.19w.Female.sorted.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.5783sTS.Human.Heart.19w.Female.sorted.bam	P-MTAB-75114	P-MTAB-75113	Human.CPM.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.processed.2.zip	P-MTAB-75114	P-MTAB-75113	Human.RPKM.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.processed.1.zip	19 week post conception	heart
5668sTS.Human.Brain.20w.Male	ERS2510257	SAMEA4690073	Homo sapiens	normal	19 week post conception	11589	20	week	male	forebrain	organism part	P-MTAB-75109	P-MTAB-75110	P-MTAB-75111	5668sTS.Human.Brain.20w.Male	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-75112	Lausanne Genomics Technology Facility	5668sTS.Human.Brain.20w.Male	sequencing assay	ERX2614432	5668sTS.Human.Brain.20w.Male.fastq.gz	5668sTS.Human.Brain.20w.Male.fastq.gz	ERR2598151	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/001/ERR2598151/ERR2598151.fastq.gz	P-MTAB-75114	P-MTAB-75113	5668sTS.Human.Brain.20w.Male.sorted.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.5668sTS.Human.Brain.20w.Male.sorted.bam	P-MTAB-75114	P-MTAB-75113	Human.CPM.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.processed.2.zip	P-MTAB-75114	P-MTAB-75113	Human.RPKM.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.processed.1.zip	19 week post conception	forebrain
5770sTS.Human.Brain.20w.Female	ERS2510258	SAMEA4690074	Homo sapiens	normal	19 week post conception	12034	20	week	female	forebrain	organism part	P-MTAB-75109	P-MTAB-75110	P-MTAB-75111	5770sTS.Human.Brain.20w.Female	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-75112	Lausanne Genomics Technology Facility	5770sTS.Human.Brain.20w.Female	sequencing assay	ERX2614433	5770sTS.Human.Brain.20w.Female.fastq.gz	5770sTS.Human.Brain.20w.Female.fastq.gz	ERR2598152	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/002/ERR2598152/ERR2598152.fastq.gz	P-MTAB-75114	P-MTAB-75113	5770sTS.Human.Brain.20w.Female.sorted.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.5770sTS.Human.Brain.20w.Female.sorted.bam	P-MTAB-75114	P-MTAB-75113	Human.CPM.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.processed.2.zip	P-MTAB-75114	P-MTAB-75113	Human.RPKM.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.processed.1.zip	19 week post conception	forebrain
5771sTS.Human.Kidney.20w.Female	ERS2510263	SAMEA4690079	Homo sapiens	normal	19 week post conception	12034	20	week	female	kidney	organism part	P-MTAB-75109	P-MTAB-75110	P-MTAB-75111	5771sTS.Human.Kidney.20w.Female	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-75112	Lausanne Genomics Technology Facility	5771sTS.Human.Kidney.20w.Female	sequencing assay	ERX2614438	5771sTS.Human.Kidney.20w.Female.fastq.gz	5771sTS.Human.Kidney.20w.Female.fastq.gz	ERR2598157	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/007/ERR2598157/ERR2598157.fastq.gz	P-MTAB-75114	P-MTAB-75113	5771sTS.Human.Kidney.20w.Female.sorted.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.5771sTS.Human.Kidney.20w.Female.sorted.bam	P-MTAB-75114	P-MTAB-75113	Human.CPM.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.processed.2.zip	P-MTAB-75114	P-MTAB-75113	Human.RPKM.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6814/E-MTAB-6814.processed.1.zip	19 week post conception	kidney
